attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,blinkStrength,time,m_2300,session_id,blinkType
91,64,11322,15855,12458,9358,10047,14590,12389,2484,0,43.1510677,0,0,0
91,78,375809,57417,23402,40683,11190,16008,9480,8768,0,44.21568140000001,0,0,0
81,81,85403,77833,7065,13304,6881,16151,15717,2588,0,45.1536557,0,0,0
81,81,85403,77833,7065,13304,6881,16151,15717,2588,102,45.15418,0,0,1
81,81,85403,77833,7065,13304,6881,16151,15717,2588,102,45.4683251,0,0,2
81,81,85403,77833,7065,13304,6881,16151,15717,2588,60,45.57874460000001,0,0,2
77,69,1390249,196746,99803,69703,45398,39835,17952,34193,0,46.1698719,0,0,0
77,69,1390249,196746,99803,69703,45398,39835,17952,34193,0,47.1458528,0,0,0
77,69,1390249,196746,99803,69703,45398,39835,17952,34193,0,47.1462621,0,0,0
51,64,633917,94301,20725,11974,4846,3844,6903,4094,0,47.1468804,0,0,0
51,64,633917,94301,20725,11974,4846,3844,6903,4094,95,47.48116420000001,0,0,1
57,57,685180,25058,13400,5452,10407,12000,3004,6987,0,48.163632500000006,0,0,0
57,57,1116157,71362,21589,6120,24610,5951,3686,1314,0,49.172600900000006,0,0,0
53,60,284350,298915,46848,35885,61609,35490,33064,10618,0,50.1657606,0,0,0
53,60,284350,298915,46848,35885,61609,35490,33064,10618,89,50.438352300000005,0,0,1
53,60,284350,298915,46848,35885,61609,35490,33064,10618,66,50.548497600000005,0,0,2
53,44,1177716,230991,10124,28002,63840,32013,8784,21473,0,51.156694,0,0,0
53,44,1177716,230991,10124,28002,63840,32013,8784,21473,65,51.2457995,0,0,2
53,44,1177716,230991,10124,28002,63840,32013,8784,21473,68,51.958998300000005,0,0,1
50,43,1398226,202559,28559,39661,21389,6450,6682,2443,0,52.146147600000006,0,0,0
50,43,1398226,202559,28559,39661,21389,6450,6682,2443,99,52.6310678,0,0,2
44,40,1409732,87777,21417,12597,10759,17465,6113,2702,0,53.16710760000001,0,0,0
44,40,1409732,87777,21417,12597,10759,17465,6113,2702,79,53.276848,0,0,1
43,48,2144355,50090,18009,12867,9466,7145,8332,1981,0,54.170465500000006,0,0,0
34,44,317607,345837,12116,23236,18475,14226,12464,14314,0,55.2049184,0,0,0
34,44,317607,345837,12116,23236,18475,14226,12464,14314,57,55.2999559,0,0,0
38,44,323952,38640,9080,2480,2543,1980,1361,284,0,56.1661323,0,0,0
38,44,323952,38640,9080,2480,2543,1980,1361,284,0,57.1597002,0,0,0
38,44,323952,38640,9080,2480,2543,1980,1361,284,0,57.159878500000005,0,0,0
23,51,1709395,812321,252317,288759,65817,43143,30322,15156,0,57.1606359,0,0,0
23,51,1709395,812321,252317,288759,65817,43143,30322,15156,51,57.5402168,0,0,0
23,51,1709395,812321,252317,288759,65817,43143,30322,15156,40,57.9761036,0,0,0
23,51,703534,2465,2191,1768,3382,2260,763,359,0,58.1542807,0,0,0
26,50,148074,72880,27651,18417,32967,13743,20886,8220,0,59.2028358,0,0,0
38,20,116056,234000,15801,1550,12953,18207,10372,5479,0,0.8470805000000006,0,1,0
43,38,395209,37207,44831,33906,8750,16549,6972,6392,0,1.8409987999999995,0,1,0
47,57,94218,50779,92683,42444,8497,9861,13036,3107,0,2.8344696000000003,0,1,0
40,64,373132,91070,26003,32389,42858,25475,19619,6631,0,3.835369500000001,0,1,0
34,81,610909,337022,46758,79422,35055,16339,44475,12755,0,4.859449099999999,0,1,0
37,66,28914,95779,14328,17451,4583,28336,9924,10684,0,5.859226400000001,0,1,0
37,66,28914,95779,14328,17451,4583,28336,9924,10684,0,6.827738400000001,0,1,0
37,66,28914,95779,14328,17451,4583,28336,9924,10684,0,6.828022099999998,0,1,0
75,50,56703,63524,7170,10065,9255,23207,10342,6584,0,8.8573403,0,1,0
67,54,63470,76607,4342,39623,5351,12154,11937,4140,0,9.8306975,0,1,0
64,56,51266,16143,28305,16684,3888,19468,13991,3263,0,10.8756299,0,1,0
67,63,316914,63811,28128,14700,14180,18996,12872,4275,0,11.8444878,0,1,0
50,63,1299520,365613,58387,26609,21674,20445,27440,6962,0,12.8420932,0,1,0
47,70,102386,56304,51149,32596,12697,9221,10159,6520,0,13.8694247,0,1,0
43,53,83838,81760,3596,18907,21852,24454,14687,7705,0,14.838109800000002,0,1,0
38,60,281371,17305,16659,8337,6440,4660,2170,1840,0,15.8664057,0,1,0
38,60,281371,17305,16659,8337,6440,4660,2170,1840,0,16.8293176,0,1,0
38,60,281371,17305,16659,8337,6440,4660,2170,1840,0,16.8295909,0,1,0
56,51,180079,32343,10013,1352,2282,6764,2508,1699,0,17.8553688,0,1,0
53,64,18934,29123,21949,7147,8531,9054,6848,11021,0,18.8492377,0,1,0
41,41,61756,218526,12708,5452,5159,8901,9421,8681,0,19.8426061,0,1,0
47,44,43761,36500,4665,24010,10719,12681,9076,6079,0,20.8395149,0,1,0
47,44,43761,36500,4665,24010,10719,12681,9076,6079,68,21.6838152,0,1,1
29,37,364036,59979,5206,3224,4861,2131,3108,1441,0,21.8436293,0,1,0
24,38,593534,117217,3292,117741,30657,21191,12782,5252,0,22.8761532,0,1,0
26,63,363012,33113,29160,11743,1480,3573,3753,990,0,23.8484573,0,1,0
10,57,1564798,517989,102242,75147,17150,21353,27940,13628,0,24.8431677,0,1,0
16,74,1634299,198682,60966,75620,19462,21545,18952,8912,0,25.8419227,0,1,0
16,74,1634299,198682,60966,75620,19462,21545,18952,8912,0,26.9190028,0,1,0
16,74,1634299,198682,60966,75620,19462,21545,18952,8912,0,26.9194218,0,1,0
21,67,998053,105761,48014,22583,15458,27449,11628,9466,0,26.9198969,0,1,0
37,70,321605,35255,58328,34565,10841,25046,20501,9962,0,27.852176,0,1,0
40,88,45840,59371,62203,60714,5137,7902,6569,12742,0,28.846635300000003,0,1,0
44,93,1650377,108286,35561,99003,9416,24611,10101,4784,0,29.8475894,0,1,0
38,91,2359468,65423,13614,22971,28037,8356,10588,7588,0,30.8380013,0,1,0
24,77,1175627,156762,15241,34309,25231,8730,16096,7022,0,31.833078,0,1,0
23,70,209642,36686,34117,12570,4513,3425,5072,1504,0,32.8563094,0,1,0
24,78,207905,30363,71270,42672,5429,16661,3411,2379,0,33.9181783,0,1,0
16,78,2016424,139940,42436,10237,6179,6814,8199,6170,0,34.8361982,0,1,0
29,80,275698,17550,6490,2295,3784,4040,4317,1478,0,35.8323298,0,1,0
29,80,275698,17550,6490,2295,3784,4040,4317,1478,0,36.8564351,0,1,0
29,80,275698,17550,6490,2295,3784,4040,4317,1478,0,36.8567851,0,1,0
24,78,64891,27557,19344,7826,3548,1407,1900,4062,0,36.8572381,0,1,0
14,57,317095,278058,31941,55133,12484,15491,14063,4379,0,37.830763,0,1,0
21,54,67514,16578,1463,3230,924,1544,1243,490,0,38.8316303,0,1,0
13,61,152428,107167,65439,34053,27467,14179,7965,3351,0,39.8600262,0,1,0
35,53,1757337,54569,21087,11622,17985,21237,6189,6461,0,40.890048,0,1,0
35,53,1757337,54569,21087,11622,17985,21237,6189,6461,54,41.2338499,0,1,0
35,53,1757337,54569,21087,11622,17985,21237,6189,6461,41,41.3268239,0,1,0
35,53,1757337,54569,21087,11622,17985,21237,6189,6461,31,41.543991,0,1,0
40,51,1369125,195774,31946,21833,22799,17539,18782,12311,0,41.8564948,0,1,0
40,60,1020628,133475,85651,27937,15156,19799,23866,11671,0,42.8748065,0,1,0
40,48,993843,65511,7876,7381,4780,5931,2748,868,0,43.8449179,0,1,0
40,48,993843,65511,7876,7381,4780,5931,2748,868,116,44.7507392,0,1,1
23,47,596771,162475,17254,36190,40126,9745,6665,2921,0,44.8458786,0,1,0
23,47,596771,162475,17254,36190,40126,9745,6665,2921,111,45.3449857,0,1,2
17,38,1493236,360200,17317,19298,5818,14575,13467,3417,0,45.8430187,0,1,0
17,38,1493236,360200,17317,19298,5818,14575,13467,3417,106,46.0631543,0,1,1
17,38,1493236,360200,17317,19298,5818,14575,13467,3417,105,46.8067229,0,1,2
17,38,1493236,360200,17317,19298,5818,14575,13467,3417,0,46.8396748,0,1,0
17,38,1493236,360200,17317,19298,5818,14575,13467,3417,0,46.839883,0,1,0
14,27,733014,127315,13386,25556,24293,9831,4549,2036,0,46.84043,0,1,0
14,27,733014,127315,13386,25556,24293,9831,4549,2036,94,47.5513681,0,1,1
14,27,733014,127315,13386,25556,24293,9831,4549,2036,40,47.7693256,0,1,0
13,24,1069197,1008626,54823,96994,216076,65691,82895,10830,0,47.868292,0,1,0
13,24,1069197,1008626,54823,96994,216076,65691,82895,10830,56,48.2374224,0,1,0
3,11,226650,318179,1168,22461,10931,3385,9185,3126,0,48.8534549,0,1,0
3,11,226650,318179,1168,22461,10931,3385,9185,3126,41,49.5045501,0,1,0
11,34,807410,57694,53927,18746,10049,10078,8612,1351,0,49.8338614,0,1,0
11,34,807410,57694,53927,18746,10049,10078,8612,1351,38,50.1720347,0,1,0
11,34,807410,57694,53927,18746,10049,10078,8612,1351,37,50.4210919,0,1,0
13,47,532653,27724,26540,9348,4410,3759,2129,1977,0,50.8520933,0,1,0
13,47,532653,27724,26540,9348,4410,3759,2129,1977,73,50.8538893,0,1,1
23,53,2397490,58572,8871,12763,16111,12433,16839,2094,0,51.918121,0,1,0
30,66,1139934,126494,14915,22740,5328,4121,2213,1084,0,52.8545985,0,1,0
30,66,1139934,126494,14915,22740,5328,4121,2213,1084,87,53.0098552,0,1,1
30,66,1139934,126494,14915,22740,5328,4121,2213,1084,101,53.6300313,0,1,2
30,61,198445,8785,1373,4889,2343,1022,714,315,0,53.8499283,0,1,0
30,61,198445,8785,1373,4889,2343,1022,714,315,50,54.1005476,0,1,0
38,47,1775083,228569,30603,33505,27436,36397,13102,29727,0,54.8510999,0,1,0
38,47,1775083,228569,30603,33505,27436,36397,13102,29727,78,55.1275749,0,1,1
38,47,593162,98834,13384,15531,7642,7643,6993,4879,0,55.84745529999999,0,1,0
38,47,593162,98834,13384,15531,7642,7643,6993,4879,81,56.6873726,0,1,1
38,47,593162,98834,13384,15531,7642,7643,6993,4879,0,56.84493139999999,0,1,0
38,47,593162,98834,13384,15531,7642,7643,6993,4879,0,56.8450333,0,1,0
38,47,1890947,26240,6649,8077,5321,3109,1998,1451,0,56.8454662,0,1,0
38,47,1890947,26240,6649,8077,5321,3109,1998,1451,110,57.2170687,0,1,2
30,44,1466236,321253,42500,33987,46169,34793,15069,28471,0,57.8401229,0,1,0
30,44,785000,36901,7243,34195,22315,26483,3852,3688,0,58.9297021,0,1,0
30,44,696480,18523,8101,5957,5381,4685,4771,679,0,59.8322922,0,1,0
48,26,152514,37959,987,3811,3050,3745,1811,1741,0,0.0044868999999998,0,2,0
47,26,54350,78426,16787,11580,6731,6577,3168,4513,0,0.0157068000000002,0,2,0
47,26,54350,78426,16787,11580,6731,6577,3168,4513,39,0.0220585999999993,0,2,0
51,23,292564,30872,2182,429,5026,2463,1184,1008,0,0.027355,0,2,0
66,17,63440,17249,2552,6438,8469,8226,3160,4236,0,0.0381929000000003,0,2,0
70,26,59499,36809,8679,14993,28887,7951,3836,2427,0,0.0934474999999999,0,2,0
70,26,59499,36809,8679,14993,28887,7951,3836,2427,0,1.1299662,0,2,0
70,26,59499,36809,8679,14993,28887,7951,3836,2427,0,1.1302003999999997,0,2,0
87,34,58037,10851,5552,8447,3611,7933,1728,2534,0,1.1307060999999994,0,2,0
81,44,1963750,213058,35515,27817,17870,10621,6266,5974,0,2.1042675000000006,0,2,0
81,44,1963750,213058,35515,27817,17870,10621,6266,5974,45,2.8243940999999992,0,2,0
63,41,264467,84527,12321,3974,6905,5081,2140,1059,0,3.1086229000000003,0,2,0
56,47,99527,68289,6486,56674,35163,10155,10310,5153,0,4.087457100000002,0,2,0
56,47,52072,13814,14964,6317,6271,11248,3577,4010,0,5.0910902,0,2,0
69,48,610049,39781,7102,10518,9561,9654,3489,5998,0,6.084726499999999,0,2,0
88,50,7449,18634,1409,6844,5635,10396,5704,1693,0,7.102492000000002,0,2,0
100,50,62618,28775,22617,15837,23122,18169,4818,4565,0,8.139663800000001,0,2,0
81,34,105366,50613,4032,2378,10684,2227,978,677,0,9.1036297,0,2,0
81,34,105366,50613,4032,2378,10684,2227,978,677,49,9.9485772,0,2,0
80,34,305961,71719,10597,15337,16491,13705,2026,2124,0,10.104437100000002,0,2,0
80,34,305961,71719,10597,15337,16491,13705,2026,2124,0,11.1014659,0,2,0
80,34,305961,71719,10597,15337,16491,13705,2026,2124,0,11.1016155,0,2,0
70,37,84943,11350,2356,5366,8250,2615,1348,1176,0,11.1018358,0,2,0
70,37,84943,11350,2356,5366,8250,2615,1348,1176,42,11.1302049,0,2,0
60,37,224145,101879,25319,42118,23147,12521,4093,2826,0,12.0970837,0,2,0
67,38,52310,48177,224,8482,14944,5277,1935,4347,0,13.1004196,0,2,0
63,37,42365,121529,21949,12792,17326,12703,3848,3235,0,14.104474800000002,0,2,0
54,27,12643,59759,15634,3672,13612,5639,704,1974,0,16.1091626,0,2,0
54,27,12643,59759,15634,3672,13612,5639,704,1974,62,16.3255334,0,2,1
54,27,12643,59759,15634,3672,13612,5639,704,1974,65,16.606346,0,2,2
41,37,336347,36384,8065,3610,3104,844,472,619,0,17.1042017,0,2,0
44,47,11572,9972,8090,10517,8836,3834,5023,3745,0,18.0984435,0,2,0
47,53,31956,71365,58221,9611,27864,8531,1977,3920,0,19.1232652,0,2,0
48,48,100069,109785,12825,6931,17670,11642,4940,3950,0,20.1020199,0,2,0
48,48,100069,109785,12825,6931,17670,11642,4940,3950,0,21.1007057,0,2,0
48,48,100069,109785,12825,6931,17670,11642,4940,3950,0,21.1009063,0,2,0
74,53,13034,20484,15010,9548,7352,13260,1839,3938,0,21.1012064,0,2,0
64,50,110174,15405,3769,7886,2709,1478,857,1409,0,22.100373500000003,0,2,0
70,51,438519,67451,37085,42026,24163,21494,7026,7705,0,23.107298,0,2,0
70,51,125248,52245,16463,10749,6848,3476,1072,726,0,25.11013,0,2,0
69,74,6611,4298,9698,3281,713,1355,318,127,0,26.1098148,0,2,0
53,74,898031,63028,20231,34339,43308,6048,6232,4141,0,27.1000462,0,2,0
51,64,1785121,188623,17711,30494,6155,11177,5165,2421,0,28.0976498,0,2,0
44,61,215189,36758,5965,14116,3257,3638,1034,1152,0,29.107906900000003,0,2,0
43,47,208546,56410,16747,6017,3955,4884,2565,962,0,30.0910374,0,2,0
43,47,208546,56410,16747,6017,3955,4884,2565,962,0,31.088891500000003,0,2,0
43,47,208546,56410,16747,6017,3955,4884,2565,962,0,31.0891503,0,2,0
37,56,348923,80067,139739,12208,14301,5312,5869,1543,0,31.0894763,0,2,0
30,75,644006,111181,231372,34781,16659,10051,16596,4420,0,32.0953778,0,2,0
24,91,12679,26270,184549,51082,27768,7576,4132,1348,0,33.1282826,0,2,0
23,100,268126,62002,86819,24429,24602,8842,8820,5986,0,34.0992489,0,2,0
29,100,276910,95863,113694,44624,22058,11925,4202,3703,0,35.1130027,0,2,0
27,100,368165,108294,341680,36600,9310,10613,4089,1050,0,36.1101125,0,2,0
21,100,355490,29241,20040,18474,5579,4149,1229,793,0,39.0888354,0,2,0
21,100,47195,12916,233072,14400,2556,6453,5169,2627,0,40.1218619,0,2,0
21,100,47195,12916,233072,14400,2556,6453,5169,2627,0,41.0879674,0,2,0
21,100,47195,12916,233072,14400,2556,6453,5169,2627,0,41.0882487,0,2,0
24,88,88369,175743,37647,30157,19548,8264,5804,2288,0,41.088658,0,2,0
29,69,78419,48273,14337,4461,1153,2735,2686,1164,0,42.0924878,0,2,0
24,77,273132,28168,186284,23957,12850,7738,4874,3619,0,43.1060064,0,2,0
37,57,68435,58668,49421,22264,17244,11497,11537,4441,0,44.1023269,0,2,0
29,67,128394,102670,131497,96654,22618,6092,7127,8319,0,45.1021895,0,2,0
27,57,2982531,539621,21146,35651,12862,15569,13673,4979,0,46.1003931,0,2,0
27,57,2982531,539621,21146,35651,12862,15569,13673,4979,62,46.1606821,0,2,1
27,57,1037744,66175,34866,24563,9696,11919,4832,2727,0,47.0981137,0,2,0
27,57,609735,52307,39433,54984,32612,44245,6615,3160,0,48.0958753,0,2,0
27,57,1326497,57465,21147,28942,19675,51422,26734,10747,0,49.1067127,0,2,0
27,57,1524952,137952,105133,165822,118201,65586,20413,15548,0,50.102998,0,2,0
27,57,1524952,137952,105133,165822,118201,65586,20413,15548,0,51.0992882,0,2,0
27,57,1524952,137952,105133,165822,118201,65586,20413,15548,0,51.0995381,0,2,0
27,57,530241,196340,60464,35019,18484,15785,5695,10876,0,51.099891500000005,0,2,0
27,57,981786,57966,21645,3732,9196,8940,1838,797,0,52.0934019,0,2,0
38,50,1010552,31378,57084,31693,25273,13085,6285,8083,0,53.0873557,0,2,0
38,50,812487,136053,26429,47859,56961,75265,44400,23120,0,54.1023523,0,2,0
38,50,729898,27217,8210,5520,2194,1491,561,288,0,55.1286053,0,2,0
38,50,4,4,8,1,4,3,4,4,0,56.09183170000001,0,2,0
38,50,180730,90378,197751,98536,91875,65905,16745,16564,0,57.0842157,0,2,0
38,50,2020021,1048619,30845,86021,108555,67681,84063,21541,0,58.0836,0,2,0
38,50,813705,80552,35391,20217,14829,18431,16643,5276,0,59.1107905,0,2,0
38,50,667562,19024,20389,9946,5051,5077,6144,2492,0,60.10580289999999,0,2,0
38,50,667562,19024,20389,9946,5051,5077,6144,2492,0,61.0997188,0,2,0
38,50,667562,19024,20389,9946,5051,5077,6144,2492,0,61.0998308,0,2,0
38,50,834535,21306,7179,1514,2621,5552,1860,431,0,61.100649,0,2,0
38,50,1204684,103300,41304,14908,17526,23084,32096,7444,0,62.1244276,0,2,0
38,50,731986,4160,8098,3527,8552,15321,2939,1561,0,63.0905036,0,2,0
38,50,1856139,709780,312462,138683,340898,126496,39754,22330,0,64.1039122,0,2,0
38,50,207716,56663,14484,9073,2415,4410,1128,1287,0,65.0999033,0,2,0
51,40,541908,35158,5894,8881,15787,15447,2409,1604,0,66.0942004,0,2,0
70,43,612480,2764,10880,614,729,1986,227,163,0,67.09398540000001,0,2,0
81,56,545557,75544,31007,51962,30151,13162,3295,1206,0,68.0869745,0,2,0
77,51,629847,25470,14247,3684,4256,2248,451,291,0,69.12809060000001,0,2,0
77,51,629847,25470,14247,3684,4256,2248,451,291,40,69.37525049999999,0,2,0
66,53,41126,117189,23030,22444,23819,18160,2622,4243,0,70.09524830000001,0,2,0
66,53,41126,117189,23030,22444,23819,18160,2622,4243,66,70.59061019999999,0,2,1
66,53,41126,117189,23030,22444,23819,18160,2622,4243,0,71.0858299,0,2,0
66,53,41126,117189,23030,22444,23819,18160,2622,4243,0,71.0862009,0,2,0
51,37,1896176,460174,60635,52375,64220,16407,4783,1203,0,71.0869236,0,2,0
56,35,1018977,90866,19388,82363,37066,26491,2938,3257,0,72.08871490000001,0,2,0
54,30,1953696,149038,8756,42237,8024,8263,3311,3454,0,73.09037839999999,0,2,0
69,34,7389,10021,10485,1497,9221,12672,1963,841,0,74.0889425,0,2,0
69,34,7389,10021,10485,1497,9221,12672,1963,841,57,74.5229895,0,2,0
83,40,356370,15133,7404,4311,4881,3735,655,623,0,75.0858423,0,2,0
77,44,2394904,55072,99656,9108,13212,9919,4732,1147,0,76.11579040000001,0,2,0
77,44,2394904,55072,99656,9108,13212,9919,4732,1147,73,76.1166589,0,2,1
80,44,253081,138724,34835,21097,20643,13771,11880,4937,0,77.10753879999999,0,2,0
64,44,651352,118338,19858,32083,32537,17475,7444,1547,0,78.10050509999999,0,2,0
64,44,651352,118338,19858,32083,32537,17475,7444,1547,49,78.7822433,0,2,0
53,37,348601,170147,18104,15353,5732,8053,1232,807,0,79.09526389999999,0,2,0
60,27,723321,62404,9054,30486,20242,12072,12346,5119,0,80.12407089999999,0,2,0
60,27,723321,62404,9054,30486,20242,12072,12346,5119,0,81.09167110000001,0,2,0
60,27,723321,62404,9054,30486,20242,12072,12346,5119,0,81.09188900000001,0,2,0
57,27,105497,86689,1889,32357,16458,6981,6712,3125,0,81.0925402,0,2,0
56,30,168197,64012,18644,17604,5888,8259,3488,2567,0,82.08928320000001,0,2,0
56,30,168197,64012,18644,17604,5888,8259,3488,2567,43,82.9764868,0,2,0
56,30,168197,64012,18644,17604,5888,8259,3488,2567,47,83.09963450000001,0,2,0
75,40,199100,23543,47381,5579,41605,22836,6638,2960,0,83.1002258,0,2,0
74,34,1026166,324828,39407,14903,26071,36381,7159,2775,0,84.1008209,0,2,0
74,30,739253,14976,1527,4426,4293,1370,364,260,0,85.0986188,0,2,0
66,41,1085016,120685,234930,58342,8407,18393,2762,2906,0,86.09483650000001,0,2,0
53,48,361288,38574,107800,111480,71558,18787,6175,5830,0,87.1217562,0,2,0
43,66,180653,49065,105305,63367,36910,6939,2711,1891,0,88.08391599999999,0,2,0
35,77,217025,41808,44767,13617,9993,2532,1102,607,0,89.0930478,0,2,0
37,74,2133933,81053,93147,23516,21948,10729,5185,9167,0,90.0906885,0,2,0
37,74,2133933,81053,93147,23516,21948,10729,5185,9167,0,91.0889787,0,2,0
37,74,2133933,81053,93147,23516,21948,10729,5185,9167,0,91.0891776,0,2,0
26,81,29948,42870,220056,56981,2131,7559,4916,3088,0,91.0894099,0,2,0
27,64,472194,251659,35478,17364,20680,12527,3731,4029,0,92.0854396,0,2,0
26,50,546755,410458,18360,32697,5376,9714,5553,1432,0,93.0858166,0,2,0
20,54,5707,98043,180648,81161,5280,9087,3595,2976,0,94.1179121,0,2,0
29,50,368473,27009,13699,150598,22097,13795,14228,2652,0,95.0859004,0,2,0
29,69,899450,43814,118736,164568,23263,12566,3363,2362,0,96.1084005,0,2,0
37,88,457028,90264,119052,31213,13519,10064,9642,1098,0,97.1068896,0,2,0
37,83,500022,26731,15458,21461,2720,1767,938,365,0,98.1343042,0,2,0
34,67,892997,206484,87651,4937,18944,14034,5317,1127,0,99.1020093,0,2,0
30,70,234497,5812,40781,8142,2027,1952,1124,556,0,100.0851649,0,2,0
30,70,234497,5812,40781,8142,2027,1952,1124,556,0,101.1131067,0,2,0
30,70,234497,5812,40781,8142,2027,1952,1124,556,0,101.113647,0,2,0
24,70,667482,128037,166388,41711,11142,6829,5193,3482,0,101.1146426,0,2,0
17,77,73911,76419,151400,48338,5248,3601,8297,1593,0,102.0968561,0,2,0
21,84,842128,102601,101630,93840,20733,19696,4989,4049,0,103.0972911,0,2,0
26,77,660741,36674,67747,29572,12164,9224,16139,3362,0,104.113271,0,2,0
30,67,273150,143386,47559,16329,7704,6745,6882,6679,0,105.1247419,0,2,0
30,67,273150,143386,47559,16329,7704,6745,6882,6679,225,105.6824927,0,2,1
30,67,1808869,68899,19828,113183,37542,62628,33770,1725,0,106.0868004,0,2,0
30,67,1337787,76774,10537,5476,6452,4102,3375,504,0,107.0845637,0,2,0
30,67,597888,29032,3312,4816,5597,6701,2225,791,0,109.106919,0,2,0
30,67,800026,51666,34014,45112,7136,7145,11225,6886,0,110.1042469,0,2,0
30,67,800026,51666,34014,45112,7136,7145,11225,6886,0,111.1007335,0,2,0
